Nombre de bits,Nombre de bits à 1,Rang dans la sous famille,Position du bit,Valeur
10, 4, 14, 8, 0
14, 8, 2201, 10, 0
9, 1, 4, 8, 0
4, 1, 4, 4, 0
14, 11, 169, 3, 0
4, 1, 4, 1, 1
16, 1, 6, 15, 0
8, 0, 1, 4, 0
9, 1, 4, 8, 0
13, 8, 116, 5, 1
7, 5, 17, 2, 1
11, 6, 444, 7, 0
1, 0, 1, 1, 0
9, 7, 21, 1, 1
2, 2, 1, 1, 1
3, 1, 2, 2, 1
7, 0, 1, 6, 0
14, 4, 730, 3, 0
14, 12, 12, 7, 1
6, 5, 2, 4, 1
4, 2, 5, 2, 0
10, 1, 9, 10, 0
5, 4, 4, 2, 1
1, 1, 1, 1, 1
2, 1, 1, 2, 1
3, 1, 3, 1, 1
8, 3, 26, 3, 0
13, 5, 118, 13, 1
4, 4, 1, 3, 1
3, 1, 2, 2, 1
5, 2, 7, 3, 0
7, 7, 1, 5, 1
9, 3, 29, 8, 0
10, 1, 4, 10, 0
15, 5, 2653, 3, 1
16, 1, 3, 7, 0
13, 5, 619, 11, 0
8, 8, 1, 1, 1
10, 4, 95, 10, 0
4, 0, 1, 3, 0
15, 0, 1, 12, 0
9, 9, 1, 7, 1
4, 1, 3, 3, 0
4, 1, 2, 3, 1
16, 2, 14, 13, 1
4, 4, 1, 2, 1
9, 1, 3, 4, 0
15, 10, 927, 3, 1
5, 5, 1, 1, 1
11, 1, 11, 6, 0
5, 2, 4, 1, 0
15, 9, 4733, 10, 0
14, 11, 41, 14, 1
4, 3, 1, 3, 1
13, 4, 56, 8, 0
11, 1, 10, 5, 0
14, 1, 1, 6, 0
3, 3, 1, 1, 1
15, 5, 2927, 13, 0
10, 6, 178, 2, 1
6, 3, 3, 6, 1
6, 6, 1, 3, 1
7, 2, 12, 4, 0
15, 15, 1, 13, 1
13, 4, 250, 9, 0
5, 3, 4, 1, 0
10, 6, 174, 9, 0
9, 5, 9, 1, 0
4, 1, 2, 3, 1
16, 10, 4291, 3, 1
2, 2, 1, 2, 1
15, 6, 1444, 6, 0
9, 3, 28, 1, 0
3, 2, 3, 2, 1
3, 0, 1, 1, 0
4, 0, 1, 3, 0
10, 8, 19, 6, 1
4, 1, 3, 2, 1
6, 3, 14, 6, 1
10, 9, 7, 7, 0
4, 2, 3, 4, 0
8, 3, 14, 2, 0
3, 3, 1, 1, 1
2, 1, 1, 2, 1
1, 0, 1, 1, 0
9, 2, 5, 7, 0
15, 2, 96, 2, 0
9, 2, 7, 4, 0
4, 4, 1, 1, 1
11, 3, 73, 6, 0
6, 2, 7, 4, 0
7, 7, 1, 4, 1
16, 9, 2190, 1, 0
15, 4, 1221, 13, 0
11, 5, 83, 10, 0
6, 1, 5, 6, 0
14, 2, 91, 10, 0
6, 3, 15, 4, 0
6, 4, 14, 1, 1
16, 12, 514, 16, 1
9, 8, 9, 8, 1
1, 0, 1, 1, 0
13, 8, 1249, 5, 1
12, 9, 206, 8, 1
3, 2, 2, 2, 0
9, 1, 3, 3, 0
5, 2, 2, 1, 0
2, 2, 1, 1, 1
14, 6, 191, 7, 1
16, 0, 1, 3, 0
4, 2, 3, 1, 0
15, 4, 966, 9, 0
2, 1, 1, 2, 1
15, 9, 3164, 10, 0
4, 3, 2, 1, 1
9, 1, 9, 2, 0
5, 4, 3, 4, 1
11, 1, 4, 5, 0
9, 5, 58, 8, 1
15, 7, 3204, 10, 1
10, 3, 114, 1, 1
13, 7, 912, 10, 1
1, 0, 1, 1, 0
9, 8, 5, 8, 1
14, 8, 829, 5, 0
10, 9, 2, 1, 1
1, 0, 1, 1, 0
11, 5, 154, 4, 0
10, 4, 121, 3, 1
2, 0, 1, 2, 0
1, 1, 1, 1, 1
16, 15, 16, 4, 1
5, 3, 3, 3, 1
4, 2, 1, 3, 1
11, 11, 1, 4, 1
5, 0, 1, 4, 0
15, 4, 217, 4, 0
2, 2, 1, 2, 1
1, 0, 1, 1, 0
10, 7, 29, 6, 0
5, 5, 1, 4, 1
1, 0, 1, 1, 0
2, 0, 1, 1, 0
16, 11, 4209, 11, 0
4, 3, 1, 4, 1
1, 0, 1, 1, 0
11, 1, 2, 5, 0
7, 0, 1, 4, 0
10, 9, 7, 9, 1
11, 10, 2, 2, 0
4, 4, 1, 2, 1
11, 5, 393, 5, 0
4, 2, 6, 4, 0
14, 1, 8, 10, 0
10, 9, 5, 9, 1
4, 3, 2, 3, 1
2, 2, 1, 1, 1
15, 11, 622, 9, 0
11, 10, 1, 2, 1
13, 8, 710, 3, 1
14, 3, 157, 7, 0
2, 1, 1, 1, 0
14, 0, 1, 3, 0
10, 8, 19, 7, 1
13, 13, 1, 9, 1
12, 12, 1, 6, 1
12, 7, 556, 12, 1
9, 5, 123, 3, 1
13, 1, 1, 12, 0
8, 6, 15, 2, 1
11, 0, 1, 4, 0
14, 9, 1188, 3, 1
11, 8, 55, 9, 1
12, 5, 130, 1, 0
10, 2, 45, 3, 0
4, 0, 1, 3, 0
13, 8, 86, 5, 0
15, 2, 67, 10, 0
8, 5, 24, 2, 0
3, 3, 1, 1, 1
9, 8, 7, 1, 1
16, 1, 5, 2, 0
16, 15, 9, 11, 1
7, 5, 20, 4, 1
14, 8, 2355, 3, 0
10, 7, 13, 5, 1
3, 0, 1, 2, 0
14, 9, 1363, 12, 1
7, 5, 21, 5, 1
6, 6, 1, 1, 1
14, 3, 302, 13, 0
6, 2, 11, 6, 1
5, 2, 8, 3, 0
12, 11, 10, 11, 1
16, 16, 1, 4, 1
4, 1, 4, 1, 1
7, 0, 1, 7, 0
6, 0, 1, 6, 0
7, 2, 20, 2, 0
8, 5, 15, 4, 0
15, 5, 1782, 8, 0
3, 0, 1, 2, 0
2, 2, 1, 2, 1
2, 0, 1, 2, 0
16, 0, 1, 16, 0
2, 1, 1, 2, 1
4, 4, 1, 4, 1
4, 1, 1, 4, 1
16, 1, 3, 2, 0
16, 8, 10715, 12, 1
2, 1, 1, 1, 0
4, 2, 6, 3, 0
9, 1, 8, 1, 0
1, 1, 1, 1, 1
16, 6, 2400, 3, 1
8, 4, 42, 6, 1
10, 3, 66, 3, 0
16, 10, 600, 11, 1
5, 3, 5, 2, 0
4, 2, 1, 2, 0
12, 2, 10, 8, 1
9, 2, 6, 3, 0
6, 2, 1, 3, 0
11, 0, 1, 1, 0
14, 14, 1, 1, 1
4, 0, 1, 4, 0
16, 10, 3325, 3, 0
9, 7, 6, 1, 0
3, 0, 1, 2, 0
4, 1, 1, 3, 0
3, 3, 1, 3, 1
7, 1, 6, 6, 0
9, 2, 34, 5, 0
9, 2, 11, 7, 0
9, 9, 1, 9, 1
9, 5, 115, 9, 1
15, 12, 232, 11, 1
8, 7, 4, 3, 1
10, 5, 223, 1, 1
12, 12, 1, 10, 1
8, 0, 1, 5, 0
7, 2, 2, 4, 0
1, 0, 1, 1, 0
4, 3, 2, 1, 1
2, 0, 1, 2, 0
7, 3, 19, 3, 1
9, 0, 1, 3, 0
1, 0, 1, 1, 0
6, 3, 6, 1, 0
13, 2, 46, 7, 0
1, 1, 1, 1, 1
10, 4, 91, 6, 0
7, 6, 5, 5, 0
10, 4, 142, 1, 1
7, 1, 3, 2, 0
9, 1, 7, 7, 0
8, 5, 54, 7, 1
8, 4, 29, 3, 1
9, 9, 1, 2, 1
3, 0, 1, 1, 0
8, 4, 16, 5, 0
11, 1, 6, 10, 0
4, 3, 2, 1, 1
4, 4, 1, 4, 1
2, 2, 1, 1, 1
13, 10, 23, 13, 1
13, 10, 106, 4, 1
3, 3, 1, 2, 1
13, 8, 377, 5, 0
7, 2, 6, 4, 1
10, 4, 183, 5, 0
12, 9, 150, 5, 1
5, 3, 2, 5, 1
8, 4, 59, 1, 1
11, 1, 5, 9, 0
16, 6, 121, 3, 0
13, 12, 1, 5, 1
10, 8, 29, 10, 1
14, 2, 8, 8, 0
10, 5, 67, 2, 1
3, 2, 1, 1, 0
11, 5, 159, 2, 1
16, 8, 8621, 6, 0
7, 2, 15, 6, 0
12, 11, 10, 12, 1
7, 6, 2, 7, 1
4, 1, 1, 3, 0
6, 4, 1, 4, 1
4, 0, 1, 3, 0
7, 0, 1, 3, 0
8, 6, 4, 4, 1
3, 0, 1, 3, 0
10, 7, 94, 2, 1
15, 15, 1, 5, 1
15, 6, 4998, 6, 0
7, 0, 1, 1, 0
16, 6, 5476, 5, 1
3, 2, 2, 3, 1
12, 3, 208, 12, 0
9, 8, 9, 1, 1
2, 1, 1, 2, 1
15, 12, 342, 5, 1
3, 3, 1, 2, 1
1, 0, 1, 1, 0
16, 3, 168, 2, 0
9, 9, 1, 4, 1
6, 1, 6, 3, 0
1, 0, 1, 1, 0
3, 3, 1, 3, 1
11, 4, 308, 9, 0
9, 8, 9, 9, 0
16, 0, 1, 11, 0
16, 10, 2560, 14, 1
9, 6, 21, 5, 0
10, 9, 7, 2, 1
12, 1, 7, 8, 0
2, 1, 2, 2, 0
2, 0, 1, 1, 0
14, 10, 358, 1, 1
4, 3, 1, 3, 1
6, 3, 17, 2, 1
8, 7, 5, 5, 0
5, 3, 3, 2, 1
8, 1, 1, 5, 0
10, 6, 64, 8, 1
8, 0, 1, 8, 0
10, 7, 58, 9, 1
13, 9, 335, 8, 1
12, 7, 695, 5, 0
16, 1, 8, 2, 0
11, 4, 134, 2, 1
6, 5, 3, 1, 1
6, 5, 2, 5, 1
7, 5, 11, 1, 1
13, 9, 57, 3, 0
5, 4, 3, 5, 1
3, 0, 1, 1, 0
5, 5, 1, 5, 1
5, 2, 7, 5, 1
15, 5, 2037, 2, 0
2, 1, 2, 2, 0
6, 6, 1, 1, 1
10, 9, 10, 8, 1
6, 3, 8, 1, 0
13, 4, 52, 13, 1
9, 6, 27, 4, 1
8, 8, 1, 2, 1
8, 0, 1, 1, 0
5, 4, 5, 4, 1
7, 1, 5, 4, 0
2, 0, 1, 2, 0
2, 2, 1, 1, 1
16, 1, 16, 7, 0
8, 2, 21, 1, 0
3, 2, 3, 1, 1
11, 7, 185, 11, 1
15, 0, 1, 3, 0
7, 2, 12, 6, 1
16, 4, 1582, 2, 0
6, 3, 4, 6, 0
4, 3, 2, 1, 1
2, 2, 1, 1, 1
15, 15, 1, 5, 1
5, 2, 10, 3, 0
4, 1, 4, 4, 0
2, 0, 1, 2, 0
11, 6, 225, 7, 0
7, 4, 4, 6, 0
11, 6, 241, 5, 0
6, 5, 2, 5, 1
8, 8, 1, 4, 1
11, 0, 1, 4, 0
16, 12, 87, 15, 0
16, 13, 43, 12, 1
14, 2, 26, 1, 0
14, 14, 1, 10, 1
12, 2, 46, 2, 1
5, 0, 1, 4, 0
15, 3, 109, 10, 0
7, 0, 1, 2, 0
7, 2, 8, 7, 0
5, 0, 1, 3, 0
12, 2, 44, 1, 0
12, 8, 37, 11, 1
5, 0, 1, 1, 0
11, 4, 72, 9, 0
16, 3, 551, 14, 0
2, 1, 1, 1, 0
1, 0, 1, 1, 0
6, 0, 1, 2, 0
9, 2, 9, 7, 1
16, 16, 1, 2, 1
6, 0, 1, 1, 0
10, 2, 39, 6, 0
8, 4, 20, 6, 0
10, 5, 149, 7, 1
4, 0, 1, 1, 0
13, 4, 296, 5, 0
6, 0, 1, 4, 0
7, 2, 13, 1, 0
10, 10, 1, 9, 1
12, 2, 27, 2, 0
8, 8, 1, 3, 1
15, 10, 753, 1, 0
9, 0, 1, 5, 0
10, 4, 173, 8, 0
12, 9, 153, 10, 1
13, 3, 212, 4, 0
4, 4, 1, 1, 1
16, 0, 1, 13, 0
13, 3, 160, 3, 1
1, 0, 1, 1, 0
14, 4, 570, 4, 0
15, 7, 5246, 10, 0
11, 3, 91, 9, 0
9, 2, 9, 8, 0
10, 6, 14, 4, 1
14, 14, 1, 13, 1
14, 6, 667, 5, 1
11, 10, 10, 9, 1
11, 9, 32, 2, 1
8, 4, 8, 1, 0
14, 1, 7, 11, 0
15, 2, 37, 3, 0
10, 3, 112, 3, 1
13, 8, 1276, 13, 0
15, 14, 15, 5, 1
1, 0, 1, 1, 0
12, 0, 1, 4, 0
10, 5, 211, 9, 1
4, 0, 1, 3, 0
6, 1, 1, 3, 0
2, 2, 1, 1, 1
10, 3, 89, 6, 0
14, 14, 1, 1, 1
4, 4, 1, 2, 1
8, 0, 1, 8, 0
8, 4, 43, 8, 1
10, 6, 85, 1, 1
15, 6, 1915, 4, 0
11, 3, 125, 6, 0
7, 5, 15, 6, 1
1, 0, 1, 1, 0
5, 4, 5, 3, 1
3, 0, 1, 1, 0
2, 2, 1, 1, 1
11, 0, 1, 3, 0
4, 0, 1, 4, 0
10, 0, 1, 2, 0
6, 4, 13, 6, 1
14, 6, 1369, 12, 0
5, 5, 1, 4, 1
5, 3, 4, 3, 1
16, 7, 826, 10, 0
11, 10, 5, 1, 1
10, 8, 10, 10, 1
12, 5, 239, 8, 1
2, 2, 1, 2, 1
7, 2, 15, 1, 0
15, 4, 544, 10, 1
4, 0, 1, 3, 0
11, 4, 191, 9, 1
2, 0, 1, 2, 0
11, 11, 1, 2, 1
3, 2, 1, 1, 0
10, 3, 113, 8, 0
15, 8, 2626, 5, 0
5, 2, 5, 3, 0
10, 8, 36, 6, 0
15, 12, 204, 1, 1
2, 2, 1, 1, 1
3, 2, 3, 1, 1
6, 2, 15, 1, 1
3, 0, 1, 3, 0
16, 11, 1018, 12, 0
9, 3, 56, 3, 1
10, 10, 1, 1, 1
13, 2, 66, 13, 0
15, 1, 7, 2, 0
12, 8, 434, 6, 0
3, 1, 2, 3, 0
6, 4, 1, 3, 1
13, 12, 11, 1, 1
7, 0, 1, 2, 0
10, 6, 19, 5, 1
11, 6, 36, 3, 1
14, 8, 85, 5, 1
11, 10, 3, 9, 1
12, 10, 20, 7, 1
12, 6, 146, 11, 1
14, 9, 819, 5, 1
2, 0, 1, 2, 0
16, 2, 81, 15, 0
6, 6, 1, 2, 1
16, 10, 49, 10, 0
12, 9, 70, 1, 1
6, 2, 7, 1, 0
16, 4, 119, 15, 0
8, 0, 1, 1, 0
3, 2, 1, 3, 1
10, 0, 1, 7, 0
4, 3, 1, 3, 1
10, 1, 9, 8, 0
1, 0, 1, 1, 0
11, 8, 96, 7, 1
10, 6, 111, 6, 0
16, 2, 110, 13, 0
7, 0, 1, 3, 0
10, 9, 3, 1, 1
11, 6, 35, 9, 1
13, 8, 509, 7, 1
8, 4, 63, 3, 0
11, 2, 54, 8, 0
5, 5, 1, 3, 1
15, 1, 13, 14, 0
12, 5, 432, 10, 0
7, 0, 1, 3, 0
9, 5, 37, 8, 1
2, 0, 1, 2, 0
14, 8, 2201, 14, 1
5, 1, 5, 3, 0
11, 6, 110, 9, 1
14, 5, 650, 14, 0
6, 2, 7, 5, 0
2, 0, 1, 1, 0
6, 1, 6, 4, 0
8, 5, 5, 4, 1
10, 8, 2, 3, 0
7, 1, 6, 2, 1
10, 4, 21, 6, 1
6, 3, 15, 5, 1
3, 3, 1, 1, 1
6, 1, 3, 6, 0
5, 1, 2, 4, 1
5, 1, 1, 5, 1
13, 11, 50, 9, 1
7, 1, 1, 4, 0
3, 3, 1, 2, 1
1, 0, 1, 1, 0
16, 3, 196, 8, 1
11, 4, 275, 9, 1
14, 7, 174, 9, 0
15, 7, 95, 9, 0
9, 5, 118, 9, 1
5, 1, 3, 2, 0
6, 4, 6, 4, 1
10, 6, 40, 7, 0
12, 2, 62, 9, 0
5, 3, 1, 2, 0
13, 4, 690, 9, 0
6, 2, 12, 3, 0
4, 3, 2, 3, 1
5, 4, 2, 4, 1
5, 1, 4, 4, 0
16, 6, 839, 1, 0
6, 6, 1, 1, 1
